intent,text
search_by_stars,find a hotel with 3 stars
search_by_stars,find 2 star accommodation
search_by_stars,i need a luxury 5 star hotel
search_by_stars,show me 3 star hotels
search_by_stars,find four star options
search_by_stars,hotel with five stars
search_by_stars,search hotels by stars
search_by_stars,display 4 star hotels
search_by_stars,looking for a 5 star hotel
search_by_stars,i want 2 star hotels
search_by_stars,any 3 star hotel
search_by_stars,show hotels with 4 stars
search_by_name,book grand hotel
search_by_name,find hotel california
search_by_name,search for ben's bnb
search_by_name,take me to cozy cottage
search_by_name,reserve grand hotel
search_by_name,look for hotel california
search_by_name,i need central rooms
search_by_name,book cozy cottage
search_by_name,show hotel california
search_by_name,find grand hotel
search_by_name,search grand hotel
search_by_name,locate ben's bnb
search_by_name,reserve hotel california
search_by_name,i want grand hotel
search_by_name,find cozy cottage
search_by_name,show ben's bnb
haunted_check,is grand hotel haunted
haunted_check,is cozy cottage haunted
haunted_check,are ghosts real there
haunted_check,is this place haunted
haunted_check,is the hotel scary
haunted_check,is it safe to stay there
haunted_check,is the hotel cursed
haunted_check,any paranormal activity
haunted_check,do ghosts stay there
haunted_check,is hotel california safe
haunted_check,is there a ghost hotel
haunted_check,is it possessed
haunted_check,is there anything spooky
haunted_check,haunted hotel?
haunted_check,any ghost stories
bot_lifestyle,where do you live
bot_lifestyle,do you eat
bot_lifestyle,do you have holidays
bot_lifestyle,what do you do
bot_lifestyle,who are you
bot_lifestyle,are you human
bot_lifestyle,are you an ai
bot_lifestyle,do you get tired
bot_lifestyle,what is your job
bot_lifestyle,where is your office
bot_lifestyle,what do you like
bot_lifestyle,what is your favourite place
bot_lifestyle,can you sleep
bot_lifestyle,do you dream
bot_lifestyle,how old are you
search_by_tourist_site,hotel near museum
search_by_tourist_site,hotel near city center
search_by_tourist_site,stay near tourist attractions
search_by_tourist_site,find accommodation near museum
search_by_tourist_site,hotel close to downtown
search_by_tourist_site,room near monument
search_by_tourist_site,hotel near airport
search_by_tourist_site,hotel near railway station
search_by_tourist_site,hotel near beach
search_by_tourist_site,hotel near national park
search_by_tourist_site,hotel near shopping mall
search_by_tourist_site,hotel close to attractions
search_by_tourist_site,show hotels near city centre
search_by_tourist_site,book hotel near gallery
search_by_tourist_site,stay close to sightseeing
search_by_tourist_site,find hotels near landmark
greet,hi chatbot
greet,hey bot
greet,good to see you
greet,hello friend
goodbye,i have to go
goodbye,later
goodbye,gotta go
goodbye,see you tomorrow
thanks,thanks so much
thanks,i appreciate it
thanks,thanks a ton
thanks,thanks again
thanks,really appreciate it
affirm,that works
affirm,exactly
affirm,alright
deny,nah
deny,don't
deny,i changed my mind
hotel_search,find me a hotel
hotel_search,i need accommodation
hotel_search,book me a room
hotel_search,show hotels
hotel_search,recommend a hotel
hotel_search,i need a place to stay
hotel_search,find a cheap hotel
hotel_search,find a luxury hotel
hotel_search,show hotels in north
hotel_search,show hotels in south
hotel_search,book a budget hotel in east
hotel_search,i need a hotel in west
hotel_search,find accommodation in north
hotel_search,reserve a hotel for me
hotel_search,can you book a hotel
hotel_search,find an affordable hotel
hotel_search,show premium hotels
hotel_search,need a hotel tonight
hotel_search,hotel near downtown
hotel_search,find me lodging
hotel_search,i want a room in north
hotel_search,cheap hotel in south
hotel_search,luxury hotel in east
hotel_search,budget accommodation
hotel_search,find a family hotel
hotel_search,search hotels
hotel_search,hotel options please
hotel_search,look for hotels
hotel_search,need hotel
hotel_search,book accommodation
hotel_search,find room
search_by_stars,show 3 star hotels
search_by_stars,need a 4 star hotel
search_by_stars,display 5 star options
search_by_stars,book a 2 star hotel
search_by_stars,find luxury 5 star stay
search_by_stars,show me hotels with 3 stars
search_by_stars,search by stars
search_by_stars,need one star hotel
search_by_stars,hotel with four stars
search_by_stars,five star accommodation
search_by_stars,best 5 star hotel
search_by_stars,budget 2 star hotel
search_by_stars,4 star stay
search_by_stars,3 star room
search_by_name,search hotel california
search_by_name,locate central rooms
search_by_name,show cozy cottage
search_by_name,book central rooms
search_by_name,hotel california please
search_by_name,find the grand
search_by_name,cozy cottage availability
search_by_name,reserve central rooms
search_by_name,book the grand
search_by_name,find my hotel california
haunted_check,is this hotel haunted
haunted_check,is there a ghost
haunted_check,is it spooky
haunted_check,does the hotel have ghosts
haunted_check,is the place cursed
haunted_check,ghost stories here
haunted_check,any spirits here
haunted_check,is hotel california scary
haunted_check,tell me about ghosts
haunted_check,is this place safe
haunted_check,haunted rooms?
haunted_check,ghost hotel
bot_lifestyle,what are you
bot_lifestyle,do you sleep
bot_lifestyle,who created you
bot_lifestyle,do you travel
bot_lifestyle,are you alive
bot_lifestyle,can you take vacation
bot_lifestyle,what's your hobby
search_by_tourist_site,hotel near station
search_by_tourist_site,stay near attractions
search_by_tourist_site,find hotel near gallery
search_by_tourist_site,hotel close to monument
search_by_tourist_site,hotel near park
search_by_tourist_site,hotel near mall
search_by_tourist_site,room near tourist places
search_by_tourist_site,stay near landmark
search_by_tourist_site,hotel near temple
search_by_tourist_site,hotel near castle
search_by_tourist_site,hotel near zoo
bot_owner,who created you
bot_owner,who is your creator
bot_owner,who made you
bot_owner,who built you
bot_owner,who developed you
bot_owner,who is your owner
bot_owner,who owns you
bot_owner,tell me your creator
bot_owner,who designed you
bot_owner,who created this chatbot
unsupported_search,my budget is 10000
unsupported_search,my budget is 5000
unsupported_search,my budget is 20000
unsupported_search,budget is 10000
unsupported_search,my budget is 10 thousand
unsupported_search,my budget is 1 lakh
unsupported_search,my budget is 50000
unsupported_search,find a hotel under 10000
unsupported_search,find a hotel below 5000
unsupported_search,hotel within 2 km
unsupported_search,hotel within 5 km
unsupported_search,hotel 3 km away
